Treat_Mediator_Y	ACME.p	prop.mediated
MetaG.M00063_MetaB.MEyellow3	0.044	0.4307
MetaG.M00002_MetaB.MEskyblue1	0.046	0.368
MetaG.M00539_MetaB.MEpalevioletred1	0.046	0.586
MetaG.M00338_MetaB.MEpalevioletred2	0.046	0.5312
MetaG.map00920_MetaB.MEfloralwhite	0.046	0.31968
MetaG.M00319_MetaB.MEpink	0.048	-0.04332
MetaG.M00155_MetaB.MEorangered1	0.048	0.34113
MetaG.M00001_MetaB.MElightpink2	0.048	0.355
MetaG.map00250_MetaB.MElightpink2	0.048	0.361
MetaG.M00173_MetaB.MEhoneydew1	0.048	0.554
MetaG.map00280_MetaB.MEmediumpurple3	0.048	0.219
MetaG.M00002_MetaB.MEmediumpurple3	0.048	0.278
MetaG.map00380_MetaB.MEsalmon2	0.048	0.583
MetaG.M00222_MetaB.MEcoral4	0.05	0.2393
MetaG.M00533_MetaB.MEpalevioletred1	0.05	0.58042
MetaG.map00280_MetaB.MEhoneydew1	0.05	0.539
MetaG.M00001_MetaB.MEmediumpurple3	0.05	0.361
MetaG.M00222_MetaB.MEsienna4	0.05	0.5265
MetaG.M00001_MetaB.MEbisque4	0.05	0.681
MetaG.map00920_MetaB.MEplum	0.05	0.59185
MetaG.M00032_MetaB.MEskyblue3	0.05	0.292
MetaG.M00222_MetaB.MEorangered1	0.052	0.24083
MetaG.M00063_MetaB.MEorangered1	0.052	0.25631
MetaG.M00173_MetaB.MEbrown4	0.052	0.702
MetaG.M00539_MetaB.MEmediumpurple3	0.052	0.28184
MetaG.M00063_MetaB.MEsalmon2	0.052	0.45456
MetaG.M00044_MetaB.MEmediumpurple1	0.052	0.592
MetaG.M00044_MetaB.MEskyblue1	0.054	0.26
MetaG.M00044_MetaB.MEdarkmagenta	0.054	0.431
MetaG.M00539_MetaB.MEantiquewhite4	0.054	0.407
MetaG.M00539_MetaB.MEcoral4	0.054	0.2564
MetaG.M00044_MetaB.MEdarkslateblue	0.054	0.252
MetaG.map03018_MetaB.MEsalmon	0.054	0.467
MetaG.map00250_MetaB.MEhoneydew1	0.054	0.461
MetaG.M00319_MetaB.MEpalevioletred2	0.054	-0.0702
MetaG.map00380_MetaB.MEskyblue3	0.054	0.425
MetaG.map00250_MetaB.MEantiquewhite1	0.056	0.483
MetaG.map00280_MetaB.MEdarkslateblue	0.056	0.306
MetaG.M00044_MetaB.MEskyblue	0.056	0.232
MetaG.map00380_MetaB.MEbrown4	0.056	0.696
MetaG.M00222_MetaB.MEpalevioletred1	0.056	0.4065
MetaG.M00360_MetaB.MEmediumpurple3	0.056	0.26
MetaG.M00319_MetaB.MEnavajowhite	0.056	-0.139
MetaG.M00173_MetaB.MEsienna4	0.056	0.764
MetaG.M00338_MetaB.MEfloralwhite	0.056	0.28787
MetaG.M00173_MetaB.MEantiquewhite4	0.058	0.5175
MetaG.map00380_MetaB.MEskyblue	0.058	0.285
MetaG.map00250_MetaB.MEskyblue	0.058	0.286
MetaG.M00063_MetaB.MEred	0.058	0.4041
MetaG.map00920_MetaB.MEantiquewhite4	0.06	0.3438
MetaG.map00250_MetaB.MEcoral4	0.06	0.269
MetaG.M00001_MetaB.MEslateblue	0.06	0.294
MetaG.M00539_MetaB.MEslateblue	0.06	0.2625
MetaG.M00338_MetaB.MEplum	0.06	0.591
MetaG.M00319_MetaB.MEplum	0.06	-0.122
MetaG.M00173_MetaB.MEantiquewhite1	0.062	0.543
MetaG.map03018_MetaB.MEorangered3	0.062	0.379
MetaG.M00319_MetaB.MElightyellow	0.062	-0.0514
MetaG.M00432_MetaB.MElightyellow	0.062	0.116
MetaG.M00360_MetaB.MEsalmon2	0.062	0.552
MetaG.map03018_MetaB.MEivory	0.064	0.388
MetaG.map00250_MetaB.MEskyblue1	0.066	0.279
MetaG.M00360_MetaB.MElightgreen	0.066	0.269
MetaG.M00032_MetaB.MEpink	0.066	0.0909
MetaG.M00173_MetaB.MEcoral4	0.066	0.319
MetaG.map00920_MetaB.MEmediumpurple3	0.066	0.3191
MetaG.M00319_MetaB.MEskyblue3	0.066	0.0327
MetaG.map00280_MetaB.MEantiquewhite4	0.068	0.372
MetaG.map00280_MetaB.MEskyblue	0.068	0.224
MetaG.M00222_MetaB.MEskyblue	0.068	0.2369
MetaG.M00338_MetaB.MEbisque4	0.068	0.6083
MetaG.M00222_MetaB.MEantiquewhite1	0.07	0.397
MetaG.M00319_MetaB.MEbrown4	0.072	-0.0436
MetaG.M00440_MetaB.MEmediumpurple3	0.072	0.2301
MetaG.M00060_MetaB.MEred	0.072	0.358
MetaG.map00920_MetaB.MEbisque4	0.072	0.483
MetaG.M00539_MetaB.MEdarkmagenta	0.074	0.476
MetaG.map00920_MetaB.MEplum1	0.074	0.435
MetaG.M00360_MetaB.MElightyellow	0.074	0.263
MetaG.M00063_MetaB.MElavenderblush3	0.074	0.522
MetaG.map00920_MetaB.MElightpink2	0.076	0.3411
MetaG.M00044_MetaB.MEslateblue	0.076	0.202
MetaG.map03018_MetaB.MEpalevioletred1	0.076	0.451
MetaG.M00060_MetaB.MEplum	0.076	0.47
MetaG.M00319_MetaB.MElightgreen	0.078	-0.0891
MetaG.M00360_MetaB.MEpink	0.078	0.253
MetaG.M00002_MetaB.MEslateblue	0.078	0.27
MetaG.M00319_MetaB.MEslateblue	0.078	-0.0254
MetaG.map00380_MetaB.MEyellow3	0.078	0.4462
MetaG.M00319_MetaB.MEblue	0.078	-0.023
MetaG.M00001_MetaB.MEskyblue1	0.08	0.304
MetaG.M00440_MetaB.MElightgreen	0.08	0.2125
MetaG.M00173_MetaB.MEpink	0.08	0.243
MetaG.M00044_MetaB.MEantiquewhite4	0.08	0.302
MetaG.M00440_MetaB.MEpalevioletred1	0.08	0.346
MetaG.map00920_MetaB.MEpink	0.082	0.2134
MetaG.M00173_MetaB.MEorangered3	0.082	0.4681
MetaG.M00338_MetaB.MEmediumpurple3	0.082	0.2452
MetaG.M00044_MetaB.MElightgreen	0.084	0.228
MetaG.M00533_MetaB.MEantiquewhite4	0.084	0.398
MetaG.M00222_MetaB.MEslateblue	0.084	0.2128
MetaG.map00380_MetaB.MEfloralwhite	0.084	0.281
MetaG.map00380_MetaB.MElavenderblush3	0.084	0.558
MetaG.M00001_MetaB.MEfirebrick4	0.088	0.217
MetaG.M00539_MetaB.MElightsteelblue	0.088	0.391
MetaG.M00044_MetaB.MEfloralwhite	0.088	0.224
MetaG.M00440_MetaB.MEslateblue	0.09	0.203
MetaG.map00280_MetaB.MEskyblue1	0.092	0.254
MetaG.map00280_MetaB.MEivory	0.092	0.402
MetaG.M00360_MetaB.MEsienna4	0.092	0.631
MetaG.M00319_MetaB.MEsienna4	0.092	0.0105
MetaG.map00280_MetaB.MEmediumpurple1	0.092	0.724
MetaG.M00063_MetaB.MEplum	0.092	0.479
MetaG.M00060_MetaB.MEnavajowhite	0.094	0.35
MetaG.M00338_MetaB.MElightgreen	0.096	0.2368
MetaG.map00380_MetaB.MEivory	0.096	0.4681
MetaG.M00044_MetaB.MElightyellow	0.096	0.207
MetaG.M00063_MetaB.MEcyan	0.096	0.342
MetaG.map00920_MetaB.MEdarkmagenta	0.098	0.409
MetaG.M00319_MetaB.MEbisque4	0.098	0.0734
MetaG.map00920_MetaB.MEskyblue1	0.1	0.261
MetaG.map00920_MetaB.MEcoral4	0.1	0.217
MetaG.M00539_MetaB.MEantiquewhite1	0.1	4.42E-01
MetaG.map00920_MetaB.MEpalevioletred2	0.1	0.37
MetaG.M00533_MetaB.MElightyellow	0.1	0.2464
MetaG.M00360_MetaB.MEcyan	0.1	0.4021
MetaG.map00920_MetaB.MEmediumpurple1	0.1	0.566
MetaG.map00250_MetaB.MEfloralwhite	0.1	0.219
MetaG.M00338_MetaB.MEskyblue1	0.11	0.27
MetaG.M00001_MetaB.MEpink	0.11	0.223
MetaG.map00250_MetaB.MEpink	0.11	0.269
MetaG.M00533_MetaB.MEorangered1	0.11	0.244
MetaG.M00173_MetaB.MEfirebrick4	0.11	0.213
MetaG.M00001_MetaB.MEcoral4	0.11	0.218
MetaG.M00440_MetaB.MEcoral4	0.11	0.1656
MetaG.M00533_MetaB.MEcoral4	0.11	0.2435
MetaG.M00533_MetaB.MEantiquewhite1	0.11	0.445
MetaG.M00002_MetaB.MEdarkslateblue	0.11	0.264
MetaG.M00533_MetaB.MEslateblue	0.11	0.2166
MetaG.M00063_MetaB.MEbrown4	0.11	0.467
MetaG.M00319_MetaB.MEmediumpurple3	0.11	-0.02
MetaG.M00533_MetaB.MEmediumpurple3	0.11	0.227
MetaG.M00360_MetaB.MEivory	0.11	0.4287
MetaG.M00060_MetaB.MEivory	0.11	0.359
MetaG.map00380_MetaB.MEnavajowhite	0.11	0.353
MetaG.M00338_MetaB.MEmediumpurple1	0.11	0.624
MetaG.M00360_MetaB.MEfloralwhite	0.11	0.24
MetaG.map00380_MetaB.MEblue	0.11	0.4351
MetaG.M00222_MetaB.MEdarkslateblue	0.112	0.207
MetaG.M00044_MetaB.MEmediumpurple3	0.112	0.183
MetaG.M00222_MetaB.MEmediumpurple3	0.116	0.152
