Treat_Mediator_Y	ACME.p	prop.mediated
MetaB.MEblue_HostT.MEchocolate2_NEU	2.00E-16	0.592
MetaB.MEblue_HostT.MEchocolate4_NEU	2.00E-16	0.339004677
MetaB.MEblue_HostT.MEcoral_NEU	2.00E-16	0.400234081
MetaB.MEblue_HostT.MEcyan_NEU	2.00E-16	0.462898549
MetaB.MEblue_HostT.MEdarkgoldenrod4_NEU	2.00E-16	0.687725267
MetaB.MEblue_HostT.MEdarkgreen_NEU	2.00E-16	0.45189639
MetaB.MEblue_HostT.MEdarkgrey.1_NEU	2.00E-16	0.346
MetaB.MEblue_HostT.MEdarkmagenta.1_NEU	2.00E-16	0.53704353
MetaB.MEblue_HostT.MEdarkmagenta_NEU	0.018	0.2329056
MetaB.MEblue_HostT.MEdarkolivegreen4_NEU	0.004	0.411
MetaB.MEblue_HostT.MEdarkorange2_NEU	2.00E-16	0.485381221
MetaB.MEblue_HostT.MEdarkorchid1_NEU	2.00E-16	0.805
MetaB.MEblue_HostT.MEdarkorchid2_NEU	0.002	0.705
MetaB.MEblue_HostT.MEdarksalmon_NEU	0.044	0.264955366
MetaB.MEblue_HostT.MEdarkseagreen2_NEU	0.022	0.289925483
MetaB.MEblue_HostT.MEdarkviolet_NEU	2.00E-16	0.568136587
MetaB.MEblue_HostT.MEdeeppink_NEU	2.00E-16	0.606
MetaB.MEblue_HostT.MEdeeppink3_NEU	2.00E-16	0.563831395
MetaB.MEblue_HostT.MEdodgerblue1_NEU	0.54	-0.0444
MetaB.MEblue_HostT.MEdodgerblue4_NEU	2.00E-16	0.360530639
MetaB.MEblue_HostT.MEfirebrick3_NEU	2.00E-16	1.052
MetaB.MEblue_HostT.MEfirebrick4_NEU	2.00E-16	0.493034896
MetaB.MEblue_HostT.MEfloralwhite_NEU	2.00E-16	0.391623696
MetaB.MEblue_HostT.MEgold_NEU	2.00E-16	0.848
MetaB.MEblue_HostT.MEgold1_NEU	2.00E-16	0.709
MetaB.MEblue_HostT.MEgreen2_NEU	2.00E-16	0.711164648
MetaB.MEblue_HostT.MEgreen4_NEU	2.00E-16	0.65758892
MetaB.MEblue_HostT.MEgreenyellow.1_NEU	0.46	0.0908
MetaB.MEblue_HostT.MEgreenyellow_NEU	2.00E-16	0.386361794
MetaB.MEblue_HostT.MEhoneydew1_NEU	0.004	0.345701643
MetaB.MEblue_HostT.MEhoneydew2_NEU	2.00E-16	0.567419055
MetaB.MEblue_HostT.MEhoneydew3_NEU	2.00E-16	0.393537115
MetaB.MEblue_HostT.MEhotpink1_NEU	0.01	0.371054443
MetaB.MEblue_HostT.MEhotpink2_NEU	2.00E-16	1.189
MetaB.MEblue_HostT.MElavender_NEU	0.138	0.283
MetaB.MEblue_HostT.MElavenderblush2_NEU	0.016	0.4329
MetaB.MEblue_HostT.MElemonchiffon1_NEU	2.00E-16	0.643
MetaB.MEblue_HostT.MElightcyan4_NEU	2.00E-16	0.534
MetaB.MEblue_HostT.MElightgoldenrod2_NEU	0.38	0.045
MetaB.MEblue_HostT.MElightgoldenrod3_NEU	0.112	0.2328
MetaB.MEblue_HostT.MElightpink_NEU	2.00E-16	0.946
MetaB.MEblue_HostT.MElightpink1_NEU	0.102	0.3826
MetaB.MEblue_HostT.MElightpink3_NEU	2.00E-16	0.287342367
MetaB.MEblue_HostT.MElightskyblue2_NEU	2.00E-16	0.567179878
MetaB.MEblue_HostT.MElightsteelblue1_NEU	2.00E-16	0.669069433
MetaB.MEblue_HostT.MElightyellow.1_NEU	2.00E-16	0.488251349
MetaB.MEblue_HostT.MElightyellow_NEU	2.00E-16	0.413149658
MetaB.MEblue_HostT.MElightyellow3_NEU	2.00E-16	0.556656074
MetaB.MEblue_HostT.MEmagenta_NEU	2.00E-16	0.630801055
MetaB.MEblue_HostT.MEmagenta4_NEU	2.00E-16	0.721688452
