Treat_Mediator_Y	ACME.p	prop.mediated
MetaB.MEwhite_HostT.MEcyan4	0.616	0.228
MetaB.MEcoral3_HostT.MEsalmon4.1	0.628	-0.0116
MetaB.MEblue2_HostT.MElightgoldenrod4	0.64	-0.0212
MetaB.MEcoral_HostT.MEsalmon4.1	0.64	-0.0138
MetaB.MEcoral3_HostT.MEseashell	0.64	0.0265
MetaB.MEdarkorange_HostT.MEsnow4	0.64	0.0251
MetaB.MEindianred4_HostT.MElightblue4	0.64	-0.0294
MetaB.MEcoral3_HostT.MEsnow2	0.652	0.323
MetaB.MEdarkorange_HostT.MEsalmon4.1	0.652	0.0227
MetaB.MEtan4_HostT.MEdarkgrey	0.652	0.168
MetaB.MEwhite_HostT.MEsnow4	0.652	0.00335
MetaB.MEantiquewhite2_HostT.MEdarkolivegreen.1	0.664	0.00507
MetaB.MEblue2_HostT.MEsalmon4.1	0.664	0.0474
MetaB.MEorange_HostT.MEsalmon.1	0.664	-0.0163
MetaB.MEwhite_HostT.MEpalegreen	0.664	0.0842
MetaB.MEdarkorange2_HostT.MElemonchiffon4	0.676	0.0194
MetaB.MEwhite_HostT.MEsnow2	0.676	0.37
MetaB.MEmidnightblue_HostT.MEsnow4	0.688	0.0182
MetaB.MEmidnightblue_HostT.MElemonchiffon4	0.7	0.024
MetaB.MEtan4_HostT.MEdarkolivegreen.1	0.7	0.00627
MetaB.MElightcoral_HostT.MEsalmon4.1	0.712	0.00975
MetaB.MEwhite_HostT.MElightblue4	0.712	0.0365
MetaB.MElightcoral_HostT.MElemonchiffon4	0.724	0.0228
MetaB.MEcoral_HostT.MEseashell	0.731	-0.00941
MetaB.MEblue2_HostT.MEdarkgrey	0.736	0.0881
MetaB.MEcoral3_HostT.MEpowderblue	0.736	0.0776
MetaB.MEmidnightblue_HostT.MEdarkolivegreen.1	0.736	-0.00294
MetaB.MEmidnightblue_HostT.MElightblue4	0.736	0.0578
MetaB.MEorange_HostT.MElightgoldenrod4	0.748	6.14E-04
